replicate_seed,generation,mutation_rate,reputation_enabled,communication_enabled,policy,count,payoff,average_payoff_per_round,cooperation_rate,selected_count,mutations_in,mutations_out,next_count
20260921,0,0.0,True,False,always_cooperate,20,24420,2.442,1.0,19,0,0,19
20260921,0,0.0,True,False,always_defect,20,25880,2.588,0.0,21,0,0,21
20260921,0,0.0,True,False,communication_guard,20,24390,2.439,1.0,19,0,0,19
20260921,0,0.0,True,False,reputation_guard,20,25922,2.5922,0.797,21,0,0,21
20260921,0,0.0,True,False,tit_for_tat,20,25107,2.5107,0.7903,20,0,0,20
20260921,1,0.0,True,False,always_cooperate,19,22200,2.336842105263158,1.0,18,0,0,18
20260921,1,0.0,True,False,always_defect,21,28324,2.6975238095238097,0.0,22,0,0,22
20260921,1,0.0,True,False,communication_guard,19,22110,2.3273684210526318,1.0,17,0,0,17
20260921,1,0.0,True,False,reputation_guard,21,27280,2.598095238095238,0.8028571428571428,22,0,0,22
20260921,1,0.0,True,False,tit_for_tat,20,25884,2.5884,0.8236,21,0,0,21
20260921,2,0.0,True,False,always_cooperate,18,21180,2.3533333333333335,1.0,17,0,0,17
20260921,2,0.0,True,False,always_defect,22,27264,2.4785454545454546,0.0,22,0,0,22
20260921,2,0.0,True,False,communication_guard,17,20010,2.3541176470588234,1.0,17,0,0,17
20260921,2,0.0,True,False,reputation_guard,22,27614,2.5103636363636364,0.7581818181818182,23,0,0,23
20260921,2,0.0,True,False,tit_for_tat,21,25998,2.476,0.7754285714285715,21,0,0,21
20260921,3,0.0,True,False,always_cooperate,17,19620,2.308235294117647,1.0,16,0,0,16
20260921,3,0.0,True,False,always_defect,22,27236,2.476,0.0,22,0,0,22
20260921,3,0.0,True,False,communication_guard,17,20070,2.3611764705882354,1.0,16,0,0,16
20260921,3,0.0,True,False,reputation_guard,23,28846,2.5083478260869567,0.7591304347826087,24,0,0,24
20260921,3,0.0,True,False,tit_for_tat,21,26397,2.514,0.7917142857142857,22,0,0,22
20260921,4,0.0,True,False,always_cooperate,16,18570,2.32125,1.0,15,0,0,15
20260921,4,0.0,True,False,always_defect,22,26768,2.4334545454545453,0.0,22,0,0,22
20260921,4,0.0,True,False,communication_guard,16,18420,2.3025,1.0,15,0,0,15
20260921,4,0.0,True,False,reputation_guard,24,30666,2.5555,0.7816666666666666,25,0,0,25
20260921,4,0.0,True,False,tit_for_tat,22,28044,2.5494545454545454,0.8069090909090909,23,0,0,23
20260921,5,0.0,True,False,always_cooperate,15,17370,2.316,1.0,14,0,0,14
20260921,5,0.0,True,False,always_defect,22,26232,2.3847272727272726,0.0,22,0,0,22
20260921,5,0.0,True,False,communication_guard,15,17130,2.284,1.0,14,0,0,14
20260921,5,0.0,True,False,reputation_guard,25,32306,2.58448,0.7976,26,0,0,26
20260921,5,0.0,True,False,tit_for_tat,23,28998,2.5215652173913043,0.7949565217391305,24,0,0,24
20260921,6,0.0,True,False,always_cooperate,14,15780,2.2542857142857144,1.0,13,0,0,13
20260921,6,0.0,True,False,always_defect,22,25164,2.2876363636363637,0.0,21,0,0,21
20260921,6,0.0,True,False,communication_guard,14,16590,2.37,1.0,14,0,0,14
20260921,6,0.0,True,False,reputation_guard,26,32686,2.514307692307692,0.7584615384615384,27,0,0,27
20260921,6,0.0,True,False,tit_for_tat,24,29700,2.475,0.775,25,0,0,25
20260921,7,0.0,True,False,always_cooperate,13,14940,2.2984615384615386,1.0,12,0,0,12
20260921,7,0.0,True,False,always_defect,21,24440,2.3276190476190477,0.0,20,0,0,20
20260921,7,0.0,True,False,communication_guard,14,16080,2.297142857142857,1.0,13,0,0,13
20260921,7,0.0,True,False,reputation_guard,27,34970,2.5903703703703704,0.802962962962963,29,0,0,29
20260921,7,0.0,True,False,tit_for_tat,25,32145,2.5716,0.8164,26,0,0,26
20260921,8,0.0,True,False,always_cooperate,12,14220,2.37,1.0,12,0,0,12
20260921,8,0.0,True,False,always_defect,20,21500,2.15,0.0,18,0,0,18
20260921,8,0.0,True,False,communication_guard,13,15630,2.4046153846153846,1.0,13,0,0,13
20260921,8,0.0,True,False,reputation_guard,29,37196,2.565241379310345,0.7855172413793103,30,0,0,30
20260921,8,0.0,True,False,tit_for_tat,26,33036,2.5412307692307694,0.8033846153846154,27,0,0,27
20260921,9,0.0,True,False,always_cooperate,12,14520,2.42,1.0,12,0,0,12
20260921,9,0.0,True,False,always_defect,18,18952,2.105777777777778,0.0,15,0,0,15
20260921,9,0.0,True,False,communication_guard,13,16410,2.5246153846153847,1.0,13,0,0,13
20260921,9,0.0,True,False,reputation_guard,30,39534,2.6356,0.8213333333333334,32,0,0,32
20260921,9,0.0,True,False,tit_for_tat,27,35166,2.604888888888889,0.8306666666666667,28,0,0,28
20260922,0,0.0,True,False,always_cooperate,20,23700,2.37,1.0,19,0,0,19
20260922,0,0.0,True,False,always_defect,20,27912,2.7912,0.0,22,0,0,22
