replicate_seed,generation,mutation_rate,policy,count,payoff,average_payoff_per_round,cooperation_rate,selected_count,mutations_in,mutations_out,next_count
20260921,0,0.02,always_cooperate,20,24420,2.442,1.0,20,0,0,20
20260921,0,0.02,always_defect,20,23876,2.3876,0.0,19,1,0,20
20260921,0,0.02,forgiving_tit_for_tat,20,25886,2.5886,0.8504,21,0,0,21
20260921,0,0.02,pavlov,20,24975,2.4975,0.8995,20,0,0,20
20260921,0,0.02,tit_for_tat,20,25170,2.517,0.793,20,0,1,19
20260921,1,0.02,always_cooperate,20,23700,2.37,1.0,19,1,1,19
20260921,1,0.02,always_defect,20,24736,2.4736,0.0,20,0,1,19
20260921,1,0.02,forgiving_tit_for_tat,21,26572,2.530666666666667,0.8293333333333334,21,0,0,21
20260921,1,0.02,pavlov,20,25200,2.52,0.904,20,0,0,20
20260921,1,0.02,tit_for_tat,19,24804,2.6109473684210527,0.8332631578947368,20,1,0,21
20260921,2,0.02,always_cooperate,19,23250,2.4473684210526314,1.0,18,1,0,19
20260921,2,0.02,always_defect,19,23036,2.4248421052631577,0.0,18,0,0,18
20260921,2,0.02,forgiving_tit_for_tat,21,27122,2.583047619047619,0.8483809523809523,22,1,2,21
20260921,2,0.02,pavlov,20,24875,2.4875,0.8975,20,0,0,20
20260921,2,0.02,tit_for_tat,21,27069,2.578,0.8191428571428572,22,1,1,22
20260921,3,0.02,always_cooperate,19,23040,2.425263157894737,1.0,18,0,0,18
20260921,3,0.02,always_defect,18,22296,2.477333333333333,0.0,18,1,0,19
20260921,3,0.02,forgiving_tit_for_tat,21,27320,2.6019047619047617,0.8552380952380952,21,1,1,21
20260921,3,0.02,pavlov,20,25350,2.535,0.907,20,0,0,20
20260921,3,0.02,tit_for_tat,22,28926,2.6296363636363638,0.8412727272727273,23,0,1,22
20260921,4,0.02,always_cooperate,18,21450,2.3833333333333333,1.0,17,1,0,18
20260921,4,0.02,always_defect,19,23012,2.4223157894736844,0.0,18,2,0,20
20260921,4,0.02,forgiving_tit_for_tat,21,27210,2.5914285714285716,0.8514285714285714,22,0,1,21
20260921,4,0.02,pavlov,20,25325,2.5325,0.9065,20,0,0,20
20260921,4,0.02,tit_for_tat,22,28737,2.6124545454545456,0.8339090909090909,23,0,2,21
20260921,5,0.02,always_cooperate,18,21120,2.3466666666666667,1.0,17,0,0,17
20260921,5,0.02,always_defect,20,24048,2.4048,0.0,19,0,0,19
20260921,5,0.02,forgiving_tit_for_tat,21,26792,2.5516190476190475,0.836952380952381,22,1,1,22
20260921,5,0.02,pavlov,20,25450,2.545,0.909,20,0,0,20
20260921,5,0.02,tit_for_tat,21,27006,2.572,0.8165714285714286,22,1,1,22
20260921,6,0.02,always_cooperate,17,20280,2.3858823529411763,1.0,16,1,0,17
20260921,6,0.02,always_defect,19,22820,2.4021052631578947,0.0,18,0,1,17
20260921,6,0.02,forgiving_tit_for_tat,22,28600,2.6,0.8545454545454545,23,0,0,23
