generation,policy,count,payoff,average_payoff_per_round,cooperation_rate,next_count
0,always_cooperate,20,24420,2.442,1.0,20
0,always_defect,20,23876,2.3876,0.0,19
0,forgiving_tit_for_tat,20,25886,2.5886,0.8504,21
0,pavlov,20,24975,2.4975,0.8995,20
0,tit_for_tat,20,25170,2.517,0.793,20
1,always_cooperate,20,23880,2.388,1.0,19
1,always_defect,19,23652,2.489684210526316,0.0,19
1,forgiving_tit_for_tat,21,26704,2.5432380952380953,0.8339047619047619,21
1,pavlov,20,25575,2.5575,0.9115,20
1,tit_for_tat,20,26283,2.6283,0.8407,21
2,always_cooperate,19,23250,2.4473684210526314,1.0,18
2,always_defect,19,23036,2.4248421052631577,0.0,18
2,forgiving_tit_for_tat,21,27122,2.583047619047619,0.8483809523809523,22
2,pavlov,20,24875,2.4875,0.8975,20
2,tit_for_tat,21,27069,2.578,0.8191428571428572,22
3,always_cooperate,18,21900,2.433333333333333,1.0,17
3,always_defect,18,21908,2.434222222222222,0.0,17
3,forgiving_tit_for_tat,22,28578,2.598,0.8538181818181818,23
3,pavlov,20,25350,2.535,0.907,20
3,tit_for_tat,22,28905,2.627727272727273,0.8404545454545455,23
4,always_cooperate,17,21000,2.4705882352941178,1.0,16
4,always_defect,17,20256,2.383058823529412,0.0,16
4,forgiving_tit_for_tat,23,29946,2.604,0.856,24
4,pavlov,20,25825,2.5825,0.9165,20
4,tit_for_tat,23,30510,2.6530434782608694,0.851304347826087,24
5,always_cooperate,16,20040,2.505,1.0,16
5,always_defect,16,18680,2.335,0.0,14
5,forgiving_tit_for_tat,24,31864,2.6553333333333335,0.8746666666666667,25
5,pavlov,20,26075,2.6075,0.9215,20
5,tit_for_tat,24,32031,2.66925,0.85825,25
6,always_cooperate,16,20130,2.51625,1.0,15
6,always_defect,14,16968,2.424,0.0,13
6,forgiving_tit_for_tat,25,33694,2.69552,0.88928,26
6,pavlov,20,26625,2.6625,0.9325,20
6,tit_for_tat,25,33699,2.69592,0.86968,26
7,always_cooperate,15,19530,2.604,1.0,15
7,always_defect,13,15076,2.3193846153846156,0.0,11
7,forgiving_tit_for_tat,26,34886,2.6835384615384617,0.8849230769230769,27
7,pavlov,20,26900,2.69,0.938,20
7,tit_for_tat,26,35640,2.7415384615384615,0.8892307692307693,27
8,always_cooperate,15,19740,2.632,1.0,15
8,always_defect,11,13244,2.408,0.0,10
8,forgiving_tit_for_tat,27,37244,2.758814814814815,0.9122962962962963,27
8,pavlov,20,27175,2.7175,0.9435,20
8,tit_for_tat,27,37245,2.758888888888889,0.8966666666666666,28
9,always_cooperate,15,20100,2.68,1.0,15
9,always_defect,10,11780,2.356,0.0,8
9,forgiving_tit_for_tat,27,37662,2.7897777777777777,0.9235555555555556,28
9,pavlov,20,27525,2.7525,0.9505,20
9,tit_for_tat,28,39018,2.787,0.9087142857142857,29
