information,pass_name,rank,policy,matches,total_payoff,average_payoff_per_round,cooperation_rate,reputation_signal,warning_signal
on,uninformed,1,always_defect,8,452,2.825,0.0,,
on,uninformed,2,tit_for_tat,8,439,2.74375,0.88125,,
on,uninformed,3,forgiving_tit_for_tat,8,438,2.7375,0.8875,,
on,uninformed,4,pavlov,8,430,2.6875,0.9375,,
on,uninformed,5,always_cooperate,8,420,2.625,1.0,,
on,uninformed,6,communication_guard,8,420,2.625,1.0,,
on,uninformed,7,reputation_guard,8,420,2.625,1.0,,
on,informed,1,communication_guard,8,440,2.75,0.875,1.0,0.0
on,informed,2,reputation_guard,8,440,2.75,0.875,1.0,0.0
on,informed,3,tit_for_tat,8,439,2.74375,0.88125,0.88125,0.0
on,informed,4,forgiving_tit_for_tat,8,438,2.7375,0.8875,0.8875,0.0
on,informed,5,pavlov,8,430,2.6875,0.9375,0.9375,0.0
on,informed,6,always_cooperate,8,420,2.625,1.0,1.0,0.0
on,informed,7,always_defect,8,292,1.825,0.0,0.0,1.0
