run_id,backend_id,backend_kind,seed,status,final_cooperation_rate,cooperation_auc,cooperation_persistence,cooperator_clusters,largest_cooperator_cluster,frontier_cells,cooperator_frontier_cells,mean_cooperator_payoff,mean_defector_payoff,backend_calls,backend_call_seconds,mean_backend_call_seconds,backend_call_failures,raw_response_bytes,input_tokens,output_tokens,total_tokens,think_calls,holds,flips,imitates,elapsed_seconds,backend_error_category,error_type,error
jev-1-d85f28f30bfa,jev,jev,1,success,0.0,0.05,0.8181818181818182,0,0,0,0,,8.0,2,0.7956769579977845,0.39783847899889224,0,0,1372,105,0,2,0,0,2,0.8336735420016339,,,
jev-2-b5f4ac91dcf7,jev,jev,2,success,0.0,0.03515625,0.5454545454545454,0,0,0,0,,8.0,2,0.6327802500090911,0.31639012500454555,0,0,1372,105,0,2,0,0,2,0.635496000002604,,,
jev-3-151859c47eca,jev,jev,3,success,0.03125,0.034375,0.8181818181818182,2,1,18,2,0.0,9.03225806451613,2,0.6724975410033949,0.33624877050169744,0,0,1567,124,0,2,0,0,2,0.6753969999990659,,,
plain-1-1c6ffab93bea,plain,baseline,1,success,0.0,0.05,0.8181818181818182,0,0,0,0,,8.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0007110419974196702,,,
plain-2-4fdcf776494c,plain,baseline,2,success,0.0,0.03515625,0.5454545454545454,0,0,0,0,,8.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0006895409969729371,,,
plain-3-1bcd166437ea,plain,baseline,3,success,0.03125,0.034375,0.8181818181818182,2,1,18,2,0.0,9.03225806451613,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0007045410020509735,,,
qwen3-8b-cluster-guard-1-2a406b4c9e76,qwen3-8b-cluster-guard,local,1,success,0.0,0.05,0.8181818181818182,0,0,0,0,,8.0,2,6.3961008330006734,3.1980504165003367,0,1108,600,138,738,2,0,0,2,6.400569458004611,,,
qwen3-8b-cluster-guard-2-d41b03b7de7c,qwen3-8b-cluster-guard,local,2,success,0.0,0.03515625,0.5454545454545454,0,0,0,0,,8.0,2,6.402765000995714,3.201382500497857,0,1108,600,138,738,2,0,0,2,6.4068622090053395,,,
qwen3-8b-cluster-guard-3-1745e23cdd2b,qwen3-8b-cluster-guard,local,3,success,0.03125,0.034375,0.8181818181818182,2,1,18,2,0.0,9.03225806451613,2,6.377361375991313,3.1886806879956566,0,1108,605,138,743,2,0,0,2,6.382018458003586,,,
random-control-1-b444f2dcffdf,random-control,random,1,success,0.0,0.05,0.8181818181818182,0,0,0,0,,8.0,2,0.0001337080029770732,6.68540014885366e-05,0,0,0,0,0,2,0,0,2,0.0010508339983061887,,,
random-control-2-9aefe8cecd57,random-control,random,2,success,0.0,0.03515625,0.5454545454545454,0,0,0,0,,8.0,2,7.40409959689714e-05,3.70204979844857e-05,0,0,0,0,0,2,0,0,2,0.000980165998043958,,,
random-control-3-507f69dc4c20,random-control,random,3,success,0.046875,0.03515625,0.8181818181818182,3,1,24,3,0.0,9.573770491803279,2,7.375000132014975e-05,3.6875000660074875e-05,0,0,0,0,0,2,1,0,1,0.0009656669935793616,,,
