replicate_seed,generation,mutation_rate,reputation_enabled,communication_enabled,memory_window,policy,count,payoff,average_payoff_per_round,cooperation_rate,selected_count,mutations_in,mutations_out,next_count
20260921,0,0.0,False,False,1,always_cooperate,20,24420,2.442,1.0,19,0,0,19
20260921,0,0.0,False,False,1,always_defect,20,29860,2.986,0.0,23,0,0,23
20260921,0,0.0,False,False,1,forgiving_tit_for_tat,20,24390,2.439,1.0,19,0,0,19
20260921,0,0.0,False,False,1,pavlov,20,24975,2.4975,0.8995,19,0,0,19
20260921,0,0.0,False,False,1,tit_for_tat,20,25170,2.517,0.793,20,0,0,20
20260921,1,0.0,False,False,1,always_cooperate,19,21720,2.2863157894736843,1.0,17,0,0,17
20260921,1,0.0,False,False,1,always_defect,23,35108,3.0528695652173914,0.0,28,0,0,28
20260921,1,0.0,False,False,1,forgiving_tit_for_tat,19,21360,2.248421052631579,1.0,17,0,0,17
20260921,1,0.0,False,False,1,pavlov,19,23300,2.4526315789473685,0.8905263157894737,18,0,0,18
20260921,1,0.0,False,False,1,tit_for_tat,20,25338,2.5338,0.8002,20,0,0,20
20260921,2,0.0,False,False,1,always_cooperate,17,18510,2.1776470588235295,1.0,15,0,0,15
20260921,2,0.0,False,False,1,always_defect,28,39260,2.8042857142857143,0.0,33,0,0,33
20260921,2,0.0,False,False,1,forgiving_tit_for_tat,17,18240,2.1458823529411766,1.0,15,0,0,15
20260921,2,0.0,False,False,1,pavlov,18,20700,2.3,0.86,17,0,0,17
20260921,2,0.0,False,False,1,tit_for_tat,20,23595,2.3595,0.7255,20,0,0,20
20260921,3,0.0,False,False,1,always_cooperate,15,14670,1.956,1.0,13,0,0,13
20260921,3,0.0,False,False,1,always_defect,33,44568,2.701090909090909,0.0,39,0,0,39
20260921,3,0.0,False,False,1,forgiving_tit_for_tat,15,14820,1.976,1.0,13,0,0,13
20260921,3,0.0,False,False,1,pavlov,17,17900,2.1058823529411765,0.8211764705882353,15,0,0,15
20260921,3,0.0,False,False,1,tit_for_tat,20,23133,2.3133,0.7057,20,0,0,20
20260921,4,0.0,False,False,1,always_cooperate,13,11940,1.8369230769230769,1.0,11,0,0,11
20260921,4,0.0,False,False,1,always_defect,39,46012,2.3595897435897437,0.0,43,0,0,43
20260921,4,0.0,False,False,1,forgiving_tit_for_tat,13,12480,1.92,1.0,12,0,0,12
20260921,4,0.0,False,False,1,pavlov,15,15675,2.09,0.818,14,0,0,14
20260921,4,0.0,False,False,1,tit_for_tat,20,21537,2.1537,0.6373,20,0,0,20
20260921,5,0.0,False,False,1,always_cooperate,11,9330,1.6963636363636363,1.0,9,0,0,9
20260921,5,0.0,False,False,1,always_defect,43,49008,2.2794418604651163,0.0,48,0,0,48
20260921,5,0.0,False,False,1,forgiving_tit_for_tat,12,10500,1.75,1.0,10,0,0,10
20260921,5,0.0,False,False,1,pavlov,14,13250,1.8928571428571428,0.7785714285714286,13,0,0,13
20260921,5,0.0,False,False,1,tit_for_tat,20,20823,2.0823,0.6067,20,0,0,20
20260921,6,0.0,False,False,1,always_cooperate,9,6300,1.4,1.0,6,0,0,6
20260921,6,0.0,False,False,1,always_defect,48,50928,2.122,0.0,53,0,0,53
20260921,6,0.0,False,False,1,forgiving_tit_for_tat,10,8280,1.656,1.0,9,0,0,9
20260921,6,0.0,False,False,1,pavlov,13,11475,1.7653846153846153,0.7530769230769231,12,0,0,12
20260921,6,0.0,False,False,1,tit_for_tat,20,19773,1.9773,0.5617,20,0,0,20
20260921,7,0.0,False,False,1,always_cooperate,6,3960,1.32,1.0,5,0,0,5
20260921,7,0.0,False,False,1,always_defect,53,51464,1.9420377358490566,0.0,57,0,0,57
20260921,7,0.0,False,False,1,forgiving_tit_for_tat,9,6270,1.3933333333333333,1.0,7,0,0,7
20260921,7,0.0,False,False,1,pavlov,12,10050,1.675,0.735,11,0,0,11
20260921,7,0.0,False,False,1,tit_for_tat,20,18219,1.8219,0.4951,20,0,0,20
20260921,8,0.0,False,False,1,always_cooperate,5,3090,1.236,1.0,4,0,0,4
20260921,8,0.0,False,False,1,always_defect,57,51868,1.8199298245614035,0.0,61,0,0,61
20260921,8,0.0,False,False,1,forgiving_tit_for_tat,7,3870,1.1057142857142856,1.0,4,0,0,4
20260921,8,0.0,False,False,1,pavlov,11,8625,1.5681818181818181,0.7136363636363636,10,0,0,10
20260921,8,0.0,False,False,1,tit_for_tat,20,17673,1.7673,0.4717,21,0,0,21
20260921,9,0.0,False,False,1,always_cooperate,4,2400,1.2,1.0,3,0,0,3
20260921,9,0.0,False,False,1,always_defect,61,48856,1.6018360655737705,0.0,62,0,0,62
20260921,9,0.0,False,False,1,forgiving_tit_for_tat,4,2130,1.065,1.0,3,0,0,3
20260921,9,0.0,False,False,1,pavlov,10,7775,1.555,0.711,10,0,0,10
20260921,9,0.0,False,False,1,tit_for_tat,21,17766,1.692,0.43942857142857145,22,0,0,22
20260922,0,0.0,False,False,1,always_cooperate,20,23700,2.37,1.0,18,0,0,18
20260922,0,0.0,False,False,1,always_defect,20,31552,3.1552,0.0,24,0,0,24
